Section,Multiselect,Category,Label,Tag
,,,,
Image Attributes,TRUE,styles,none,null
,,,,
Image Attributes,TRUE,styles,drawing,Drawing
,,,,
Image Attributes,TRUE,styles,painting,Painting
,,,,
Image Attributes,TRUE,styles,anime,Anime
,,,,
Image Attributes,TRUE,styles,CGI,CGI
,,,,
Image Attributes,TRUE,styles,3D,3D
,,,,
Image Attributes,TRUE,styles,realism,Realism
,,,,
Image Attributes,TRUE,styles,charcoal,Charcoal
,,,,
Image Attributes,TRUE,styles,oil,Oil Painting
,,,,
Image Attributes,TRUE,styles,manga,Manga
,,,,
Image Attributes,TRUE,styles,disney,"""Disney, Disney Style"""
,,,,
Image Attributes,TRUE,post processing,none,null
,,,,
Image Attributes,TRUE,post processing,vfx,VFX
,,,,
Image Attributes,TRUE,post processing,fxaa,FXAA
,,,,
Image Attributes,TRUE,post processing,txaa,TXAA
,,,,
Image Attributes,TRUE,post processing,rtx,RTX
,,,,
Image Attributes,TRUE,post processing,ssao,SSAO
,,,,
Image Attributes,TRUE,post processing,shaders,Shaders
,,,,
Image Attributes,TRUE,post processing,denoise,Denoise
,,,,
Image Attributes,TRUE,post processing,cel shading,Cel Shading
,,,,
Image Attributes,TRUE,post processing,tone mapping,Tone Mapping
,,,,
Image Attributes,TRUE,post processing,ambient occlusion,Ambient Occlusion
,,,,
Image Attributes,TRUE,lighting,none,null
,,,,
Image Attributes,TRUE,lighting,spotlight,Spotlight
,,,,
Image Attributes,TRUE,lighting,frontlight,Frontlight
,,,,
Image Attributes,TRUE,lighting,rim lights,"""Rim Lights, Rim Lighting, Rim Light"""
,,,,
Image Attributes,TRUE,lighting,edge lighting,Edge Lighting
,,,,
Image Attributes,TRUE,lighting,natural,Natural Lighting
,,,,
Image Attributes,TRUE,lighting,sunlight,Sunlight
,,,,
Image Attributes,TRUE,lighting,moonlight,Moonlight
,,,,
Image Attributes,TRUE,lighting,moody,Moody Lighting
,,,,
Image Attributes,TRUE,lighting,dramatic,Dramatic Lighting
,,,,
Image Attributes,TRUE,lighting,volumetric,"""Volumetric Lighting, Volumetric Light, Volumetric"""
,,,,
Image Attributes,TRUE,lighting,accent,Accent Lighting
,,,,
Image Attributes,TRUE,lighting,fluorescent,Fluorescent
,,,,
Image Attributes,TRUE,lighting,neon,"""Neon Lights, Neon, Neon Lighting"""
,,,,
Image Attributes,TRUE,extras,none,null
,,,,
